NodeID,type,A,longitude,latitude,D,fx_val0,fx_val1,fx_val2,fx_val3,fx_val4,fx_val5,fx_val6,fx_val7,fx_val8,fx_val9,fx_val10,fx_val11,fx_val12,fx_val13,fx_val14,fx_val15,fx_val16,fx_val17,fx_val18,fx_val19,fx_val20,fx_val21,fx_val22,fx_val23
1590587,H,10,132.252856,388.645792,0, , , , , , , , , , , , , , , , , , , , , , , , 
40706891,G,10,132.184321,388.667887,0, , , , , , , , , , , , , , , , , , , , , , , , 
29357488,G,10,132.252856,388.645792,0, , , , , , , , , , , , , , , , , , , , , , , , 
1589609,H,10,132.252856,388.645792,0, , , , , , , , , , , , , , , , , , , , , , , , 
82740746,J,0.1,132.239191,388.648931,0,53.2,60.4125,66.4,47.775,53.2875,60.55,64.2625,86.9,84,90.3625,98.9375,100.7875,117.325,100.825,102.6375,101.3625,101.2375,98.8625,84.8625,103.35,98.0375,91.95,89.525,76.2125
84024003,J,0.1, , ,0,53.2,60.4125,66.4,47.775,53.2875,60.55,64.2625,86.9,84,90.3625,98.9375,100.7875,117.325,100.825,102.6375,101.3625,101.2375,98.8625,84.8625,103.35,98.0375,91.95,89.525,76.2125
19867677,J,10,132.246297,388.656424,0,55.4,87.2,47.1,56.2,47.9,27.8,60.9,71.1,67.1,78.8,67.5,611,97.6,86,96.6,633,129.6,74.8,71.3,118.6,112.9,92.9,89.9,92.4
81782820,J,1,132.196901,388.666318,1,102.0222222,84.92222222,77.03333333,76.2,69.95555556,81.3,96.26666667,112.4555556,134.5333333,142.7666667,138.7222222,154.0111111,181.8444444,167.7,141.2888889,168.4,157.8666667,178.0777778,166.6333333,153.2666667,158.1777778,176.4777778,161,137.7888889
83398935,J,1,132.175372,388.664342,0,177.21,142.04,113.83,112.064,103.8033333,99.14333333,156.5766667,181.4553333,211.404,234.484,240.692,259.904,356.42,291.2006667,259.2486667,252.4126667,258.3726667,272.0513333,314.8693333,333.4166667,365.7093333,368.2033333,331.4226667,249.6766667
83488294,J,1,132.25241,388.66825,0,73.61875,63.75625,60.48125,59.20625,58.79375,75.4125,72.45,89.875,79.675,83.6375,86.40625,78.40625,97.29375,78.9875,82.1125,80.7125,77.59375,93.15,99.63125,101.08125,105.36875,100.75625,89.99375,80.3
83661285,J,1,132.2300576,388.574471,0,181.375,164.575,117.15,153.3,117.55,129.425,165.875,179.025,224.65,210.825,250.9,243.6,265.975,250.275,271.45,247.375,248.7,246.5,260.025,269.3,281.15,280.975,251.2,216.9
83703061,J,1,132.20136,388.64226,0,160.5,95.5,92.5,86,78.5,64,110.5,122.5,142.5,151,172,195,230.5,176,197.5,322.5,201.5,195.5,217,221.5,203,207.5,198.5,154.5
83976882,J,1,132.23322,388.63398,0,104.6454545,77.8,93.24545455,71.51818182,53.97272727,89.29090909,71.54545455,108.7272727,98.50909091,112.6090909,109.8909091,126.9909091,126.6363636,131.0454545,116.4818182,114.9272727,133.0818182,128.5181818,121.9363636,142.6272727,144.4090909,150.4,133.4727273,101.4272727
84024002,J,1,132.24663,388.62921,0,79.875,107.175,72.55,68.175,74.15,71.5,70.375,69.8,71.125,81.275,92.5,84,98.025,105.6,88.4,85.9,92,91.525,100.25,100.975,97.675,100.6,98.05,106.125
80542501,J,10,132.230294,388.675797,0,195.2389558,161.4425703,139.5910843,131.6534137,121.005502,124.7060241,164.9473896,200.9640562,228.711245,241.7059036,251.4720482,273.4025301,310.3275502,273.9333333,267.4907631,273.4018072,278.2417671,284.6126908,298.6489157,312.2888755,320.8859438,312.1497992,295.7799197,256.3554217
60429296,J,10, , ,0,9,7.4,47.5,14.2,104,7.1,45.4,5.7,25.2,71.5,34.7,49.6,48.5,26,45.5,34.1,49,7,1.4,59.7,2.7,5.7,1.6,1.5
60509138,J,1, , ,0,12.6,7.1,3.2,1.4,103.5,9,7.8,9.3,33.5,74.8,32.8,48.3,53.8,35.2,50.9,36.8,53.7,2.2,1.3,59.1,4.3,6.8,2.1,2.2
60509137,J,1, , ,0,1.5,2.5,5.9,21.5,1.3,2,2.5,1.4,1.3,2.7,1.8,1.5,2.6,1.4,1.3,1.3,1.5,1.4,2.7,1.5,1.2,1.5,1,1.5
