NodeID,type,A,longitude,latitude,D,fx_val0,fx_val1,fx_val2,fx_val3,fx_val4,fx_val5,fx_val6,fx_val7,fx_val8,fx_val9,fx_val10,fx_val11,fx_val12,fx_val13,fx_val14,fx_val15,fx_val16,fx_val17,fx_val18,fx_val19,fx_val20,fx_val21,fx_val22,fx_val23
77649040,J,1,132.311709,388.598383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36589357,G,1,132.35369,388.58738,0, , , , , , , , , , , , , , , , , , , , , , , , 
10515693,H,1,132.35369,388.58738,0, , , , , , , , , , , , , , , , , , , , , , , , 
7602521,H,1,132.375231,388.586301,0, , , , , , , , , , , , , , , , , , , , , , , , 
40562850,J,1, , ,0,99.9,104.9,106,73.3,103.9,95.3,103.1,103.8,111.3,110.7,110.8,108.7,108.3,111.8,112.5,112.2,109.6,113.4,109.2,104.1,29.2,3.1,6.3,3
64354495,J,1,132.331591,388.591728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63826384,J,1,132.540861,388.525605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4036403,J,1,132.51921,388.54247,0,158.6,123.7,116.3,126.8,104.3,144.9,164.7,187.3,170.5,196,202.1,238.3,247.4,191.8,266.7,216.2,289.6,218.4,213.3,248.1,304,255.1,232.4,201.2
8353888,J,1,132.58494,388.52374,0,129.9,104.5,100.6,124.3,99.2,126.6,127.2,147.7,176.2,164.8,173,229.7,182.4,171.1,149.9,187.8,235.6,199.3,172.1,220.9,226.4,203.5,230.7,177.2
19111892,J,1,132.590411,388.530206,0,171.6,87.2,94.3,96.1,111.3,131.7,164.3,162.9,196.8,182,177.4,273.2,233.6,189.6,217.2,193.6,263.5,238.9,213.7,280.9,268.6,271.6,250.9,242
17959478,J,1,132.361961,388.574351,0,67.6,61.3,54.6,53.3,3.5,10.7,28.5,61.6,58.9,68.9,93.8,83,75.5,86.7,64.9,71.6,89.3,70.1,76.4,73.4,67.1,85.3,88.9,95.2
2682274,J,1,132.35641,388.58135,0,95.8,93.7,67,55.1,3.3,7.5,41.3,61.7,63.1,65.6,62.4,72.5,86.9,83.8,76.2,90.8,67.2,77,75.3,99.1,87,114.3,115,100.3
41070818,J,1,132.365148,388.568196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15326843,J,1,132.370981,388.568071,0,144,121.8,131.9,176.2,96.6,192.1,132.7,189.4,167.2,213.5,194.5,171.5,216.2,226.7,170.3,229,188.6,220.5,239.3,234.8,209.6,217.9,243.8,203.2
34476317,J,1,132.375042,388.559976,0,142.6,102,111.5,121.7,105.5,128.7,139,158.1,153.6,196.3,188.7,168.6,180.4,215.7,161.1,199,191.6,198.5,209.7,202.7,181.3,207.7,195.4,206.6
1590767,H,1,132.37992,388.568463,0,251.1,211.1,206.4,251.7,144.6,159.2,225.4,264.5,285.1,326.4,319.6,361.4,412.8,329.8,323.4,357.3,339.3,323.4,369.5,383.2,361.1,377.4,386.5,301.4
58889403,J,1,132.380267,388.564221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64215745,J,1,132.346702,388.600636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32069176,J,1,132.344901,388.59378,0,267.1,160.8,135.5,165.1,116,124,141,177.6,251.4,241.3,239.3,324.7,328.5,286.3,246.5,287,312.3,271,310.9,327.1,387.7,386.7,337,339
51191669,J,1,132.343991,388.600941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8157079,J,1,132.33932,388.60332,0,291.4,150.6,155.3,144.1,108.5,131.8,161.2,315.5,254.2,288.7,277.4,305.1,295.6,286.8,279.9,252.2,318.5,376.6,359,359.3,340.3,322.8,383.8,241.6
49950204,J,1,132.343371,388.601297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49950205,J,1,132.341561,388.599827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590729,J,1,132.339201,388.60629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21639686,J,1,132.378515,388.575569,0,126.1,95.9,109,97.5,73.1,78.3,133,109,92,120.9,173.6,178.1,163.9,133.1,177.8,169.8,130.8,121.5,146.9,186.9,139.3,149.6,137.1,145
42879587,J,1,132.37456,388.576117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80665481,J,0.1, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59399478,J,10,132.364044,388.561002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2682074,J,1,132.365557,388.559085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0.21,0.21,0.22,0.26
8403029,J,10,132.36459,388.55828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.6,0,0,0,0,0,112.2,127.5,93.1,95.8
42333390,J,10,132.320021,388.561188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19361014,J,10,132.359061,388.560475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,235,261,283,276
76374981,J,10,132.366456,388.557769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31318147,J,10,132.364075,388.55273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.7,0,0,0,0,0,98.5,104.8,70.7,92
57494694,J,10,132.309631,388.567111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24521445,J,10,132.322291,388.570781,0,134.4,113.7,82,94.1,91.3,108.9,108.9,249.3,176.9,245.6,195.8,269.3,289.5,223.1,212.3,227.3,232.2,250.2,157.9,128.3,156.8,148.1,148.7,186.2
8419668,J,10,132.329201,388.574511,0,336,220,187,189,205,174,316,365,372,442,355,509,516,386,380,376,435,444,435,469,463,498,468,458
40909989,J,1,132.350231,388.583981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40909990,J,1,132.347831,388.531585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25505673,J,1,132.340988,388.525477,0,190.4,174,144.3,126.3,177.4,174.8,213.9,291,218.7,264.3,327,338.9,353.1,340.9,287.2,341,302.2,310.9,415.7,357.3,429.8,383.3,358.2,301
2361721,J,1,132.35566,388.51863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
