NodeID,type,A,longitude,latitude,D,fx_val0,fx_val1,fx_val2,fx_val3,fx_val4,fx_val5,fx_val6,fx_val7,fx_val8,fx_val9,fx_val10,fx_val11,fx_val12,fx_val13,fx_val14,fx_val15,fx_val16,fx_val17,fx_val18,fx_val19,fx_val20,fx_val21,fx_val22,fx_val23
77649040,J,1,132.311709,388.598383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36589357,G,1,132.35369,388.58738,0, , , , , , , , , , , , , , , , , , , , , , , , 
10515693,H,1,132.35369,388.58738,0, , , , , , , , , , , , , , , , , , , , , , , , 
7602521,H,1,132.375231,388.586301,0, , , , , , , , , , , , , , , , , , , , , , , , 
40562850,J,1, , ,0,3,2.7,3.1,3.1,22.5,104.9,2.5,69.7,110.1,110.3,103.6,103.4,110.2,109.3,108.9,103.4,124.1,111.1,112,110,107.8,107.9,2.4,2.1
64354495,J,1,132.331591,388.591728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63826384,J,1,132.540861,388.525605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4036403,J,1,132.51921,388.54247,0,129.5,105.7,89.4,74.1,113.1,173.1,155.2,152.7,198.7,206.4,162.7,229.9,253,167.4,191.7,163.7,178.8,187.6,227.7,262.2,282.3,289.6,208.3,153.4
8353888,J,1,132.58494,388.52374,0,99.9,90,104.1,119.2,110,131.1,145.5,163,200.5,175.7,143.4,159.2,202.4,169.6,170.8,156.9,172.1,164.3,201.5,204.5,211.9,219.5,171.5,148.3
19111892,J,1,132.590411,388.530206,0,114.6,101.3,77.3,118.2,108.5,154.3,182.1,194.3,201.3,173.7,172.1,225.3,232.4,193.4,246.4,176,185.1,195.7,238.2,244.3,259,256.2,213.8,175
17959478,J,1,132.361961,388.574351,0,51.2,56.4,47.2,40,16.9,56.3,50.4,54.3,57,62.6,75.9,62.1,85.6,88.6,74.1,79,71.1,54.9,57.8,71.9,56.1,55.7,49.5,55.5
2682274,J,1,132.35641,388.58135,0,49.3,68.5,46.8,38.2,9.3,52,35.1,57.6,83.5,52.2,49.2,76.2,83.5,78.7,82.5,62.9,61.2,63.3,54.8,74.6,75.2,54.3,59.2,65.1
41070818,J,1,132.365148,388.568196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15326843,J,1,132.370981,388.568071,0,139.6,164.2,129.1,111.3,128,115.9,156.9,176.8,245.7,232.3,182.8,195.6,203.1,194,180.3,181.9,175.9,204.6,199.9,330.8,229.1,205.7,200,209.7
34476317,J,1,132.375042,388.559976,0,120.3,104.6,101.5,116.5,103.1,126,130.2,158.1,176.3,187.3,207.7,144.2,188.6,171.2,149.4,217.5,174.4,185.9,207.2,228,199.8,244.3,168.6,160.9
1590767,H,1,132.37992,388.568463,0,249.9,198.7,156.3,153.3,122,185.9,185,236.5,251.2,290.3,297,292.4,365.6,363.2,308.2,333.9,300.1,322.9,376.7,355.5,360,351.3,324.6,292.6
58889403,J,1,132.380267,388.564221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64215745,J,1,132.346702,388.600636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32069176,J,1,132.344901,388.59378,0,246.1,175.1,161.1,174.7,121.9,125.4,146.1,199.6,242.1,249.7,280.9,313.4,276.6,302.6,293.4,227.9,251.6,279.1,321.5,348.6,308.9,331.5,315,268.2
51191669,J,1,132.343991,388.600941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8157079,J,1,132.33932,388.60332,0,231.9,133.1,139.3,153.1,100.7,117.6,156.9,200,202.9,279.5,268.7,266.4,281.9,280.6,222.3,264.5,267.2,373.7,301.7,319.1,329.1,357.7,304,284.8
49950204,J,1,132.343371,388.601297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49950205,J,1,132.341561,388.599827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590729,J,1,132.339201,388.60629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21639686,J,1,132.378515,388.575569,0,115.7,115,78.2,73.6,97.1,118.7,112,149.3,139.9,132.6,129.5,128,176.2,166.9,114.4,145,146.7,148.3,160.9,139.1,175.6,138.2,144.8,110.5
42879587,J,1,132.37456,388.576117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80665481,J,0.1, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59399478,J,10,132.364044,388.561002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2682074,J,1,132.365557,388.559085,0,0.22,0.21,0.21,0.22,0.21,0.22,0.21,0.26,0.25,0.21,0.22,0.21,0.27,0.22,0.27,0.22,0.22,0.22,0.22,0.22,0.22,0.25,0.25,0.22
8403029,J,10,132.36459,388.55828,1,90.5,76.5,76.5,54.5,50.5,64.1,78.5,90.2,128.6,114,116.9,164,172.3,147.4,142.3,166.8,159.5,161.9,168.9,92.5,112.2,114.4,111.9,119.4
42333390,J,10,132.320021,388.561188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19361014,J,10,132.359061,388.560475,0,168,116,127,1628,1619,1339,184,227,229,318,305,370,351,406,328,303,306,400,298,299,301,268,326,245
76374981,J,10,132.366456,388.557769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31318147,J,10,132.364075,388.55273,0,76.3,85.3,65.7,44.6,41,55.3,65.4,92.6,91.9,115.2,108.5,163.6,157.1,136.2,129.7,143.4,153.7,165,161.4,100.7,101.5,127.5,109.1,106.3
57494694,J,10,132.309631,388.567111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24521445,J,10,132.322291,388.570781,0,109.2,112.2,109.3,73.1,66.5,65.2,111.6,221.9,197.1,201.4,210.2,270.5,291.8,216.3,206.5,245.6,197.3,258.2,170.8,148.9,139,143.9,144.5,150.9
8419668,J,10,132.329201,388.574511,0,258,231,168,169,122,194,276,381,316,336,363,475,496,375,421,425,381,466,431,471,467,440,548,388
40909989,J,1,132.350231,388.583981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40909990,J,1,132.347831,388.531585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
