NodeID_A,longitude_A,latitude_A,type_A,NodeID_B,longitude_B,latitude_B,type_B,A,NE
23287510,132.22636,388.65402,J,14464977,132.228373,388.655371,J,1,99885226
22956208,132.273911,388.660091,J,11683967,132.266632,388.657792,J,1,99256303
22956209,132.280811,388.667451,J,14124724,132.302581,388.672371,J,1,99255960
22931310,132.25915,388.61031,J,19336466,132.262741,388.609476,J,1,99195876
19621932,132.255241,388.611391,J,22931310,132.25915,388.61031,J,1,99195875
7958245,132.266291,388.604371,J,22931310,132.25915,388.61031,J,1,99195874
4211336,132.117129,388.597857,J,19510779,132.126107,388.589035,J,1,98932809
15055923,131.859041,388.599654,J,22568647,131.869547,388.593441,J,1,98009914
2102623,132.25408,388.647645,J,13989315,132.259689,388.646248,J,1,97342965
14057305,132.252856,388.645792,J,1589609,132.252856,388.645792,H,10,95531054
20141973,132.252856,388.645792,J,14057305,132.252856,388.645792,J,10,95531053
15186639,132.256861,388.636521,J,20141973,132.252856,388.645792,J,10,95531050
20611282,132.004418,388.499177,J,5245431,131.99337,388.50764,J,1,95242480
13989291,132.00489,388.48903,J,20611282,132.004418,388.499177,J,1,95242479
15286460,132.250911,388.643011,J,15186639,132.256861,388.636521,J,1,94971295
21663504,132.043451,388.490996,J,11777668,132.033211,388.484691,J,1,94916185
8374375,132.049268,388.502688,J,21663504,132.043451,388.490996,J,1,94916184
21615104,131.910088,388.702414,J,11725576,131.941051,388.693701,J,1,94791377
21363740,132.226873,388.538776,J,20657477,132.231922,388.537269,J,1,94141104
21252813,132.043608,388.587192,J,4944916,132.04605,388.59482,J,1,93987908
3835853,132.041183,388.567059,J,21252813,132.043608,388.587192,J,1,93987907
21252810,131.926264,388.609053,J,4132293,131.93471,388.60417,J,1,93987898
2061942,131.932601,388.600031,H,21252810,131.926264,388.609053,J,1,93987897
14006029,132.262711,388.663981,J,11654508,132.263984,388.662035,J,1,93636840
2568243,132.227197,388.630195,J,21026441,132.224616,388.629947,J,1,93402825
20823517,132.266962,388.658861,H,17336068,132.313451,388.679481,H,10,92981607
1589609,132.252856,388.645792,H,20823517,132.266962,388.658861,H,10,92981606
20823517,132.266962,388.658861,H,17336068,132.313451,388.679481,H,10,92981605
1589609,132.252856,388.645792,H,20823517,132.266962,388.658861,H,10,92981604
20732826,132.166262,388.548202,J,4609512,132.110791,388.540853,J,1,92745452
20732805,131.971661,388.630268,J,15000848,131.94776,388.65113,J,1,92745448
20601747,131.86717,388.52908,J,12674230,131.90046,388.528453,J,1,92155042
12674228,131.901543,388.53613,J,20601747,131.86717,388.52908,J,1,92155041
20601747,131.86717,388.52908,J,15412312,131.873879,388.512079,J,1,92155038
20601747,131.86717,388.52908,J,2061935,131.86991,388.53171,H,10,92155036
3432537,132.08291,388.63333,J,19510787,132.071928,388.629531,J,1,91724067
19510783,132.101138,388.591865,J,4211336,132.117129,388.597857,J,1,91724063
4211335,132.099901,388.60029,J,19510783,132.101138,388.591865,J,1,91724062
20381335,131.937133,388.535372,J,11777669,131.93885,388.52608,J,1,91640917
5209236,131.93529,388.56134,J,20381335,131.937133,388.535372,J,1,91640916
5209091,131.981122,388.64894,J,15000851,131.990611,388.654621,J,1,91527289
4211275,131.993609,388.638283,J,19793153,131.997631,388.648983,J,1,91527286
4211275,131.993609,388.638283,J,1587971,132.023765,388.639514,H,1,91527282
17820904,132.25909,388.658647,J,11683967,132.266632,388.657792,J,1,91163936
2771151,131.95639,388.58818,J,18222048,131.948451,388.589251,J,0.1,91050847
20225962,131.918721,388.543308,J,5209090,131.933434,388.549495,J,1,91050846
12674230,131.90046,388.528453,J,20225962,131.918721,388.543308,J,1,91050845
1590587,132.252856,388.645792,H,15055920,132.25433,388.64851,J,10,90844866
20120529,132.266632,388.657792,J,11683967,132.266632,388.657792,J,1,90789666
7832949,132.26666,388.64975,J,20120529,132.266632,388.657792,J,10,90789665
20005454,132.082907,388.547778,J,19714519,132.076007,388.547946,J,1,90546643
10612131,132.14747,388.52272,J,20005454,132.082907,388.547778,J,1,90546642
3432456,132.15738,388.54984,J,10612132,132.152357,388.52612,J,1,90388861
15238517,132.003296,388.665373,J,19793153,131.997631,388.648983,J,1,90015837
19229435,132.140205,388.614346,J,1587976,132.13245,388.62555,J,0.1,89812812
2874669,132.14479,388.62171,J,7311187,132.152609,388.629089,J,1,89812811
19669461,131.976739,388.529774,J,5209094,131.98258,388.52944,J,1,89752121
5209090,131.933434,388.549495,J,19669461,131.976739,388.529774,J,1,89752120
19580370,132.264441,388.635731,J,13989315,132.259689,388.646248,J,1,89561209
19560122,132.242746,388.649295,J,1847033,132.24131,388.64941,J,0.1,89523076
19538097,132.254665,388.638703,J,14006037,132.25236,388.63983,J,1,89447765
19538097,132.254665,388.638703,J,16750298,132.25193,388.63558,J,1,89447764
19485694,131.971634,388.603535,J,5209159,131.98871,388.59954,J,1,89290710
5209161,132.00638,388.60082,J,19485687,131.992341,388.629632,J,1,89290703
19411658,132.178069,388.557741,J,5712531,132.186656,388.55887,J,1,89016233
3432466,132.169874,388.55738,J,19411658,132.178069,388.557741,J,1,89016232
19090260,132.257781,388.654472,J,2101866,132.25849,388.65344,J,1,88943561
1845635,132.25706,388.65445,J,19090260,132.257781,388.654472,J,1,88943560
5450788,132.14149,388.61051,J,19229435,132.140205,388.614346,J,1,88038645
19229438,131.911154,388.595632,J,2061942,131.932601,388.600031,H,1,88038631
4944917,131.889782,388.598704,J,19229438,131.911154,388.595632,J,1,88038630
18955458,132.241709,388.65117,J,5135467,132.24264,388.65246,J,1,87172100
18933312,132.265461,388.659011,J,1847310,132.265631,388.659797,J,1,85925388
1847784,132.26171,388.64428,J,18933312,132.265461,388.659011,J,1,85925387
7662811,132.231451,388.638711,J,3029011,132.230284,388.640528,J,1,85925385
5605466,132.23429,388.63864,J,7662811,132.231451,388.638711,J,1,85925384
1590587,132.252856,388.645792,H,1847330,132.24081,388.64871,J,0.1,85235378
5290014,132.18324,388.69703,J,18221103,132.171365,388.677516,J,1,85235326
18625734,132.167487,388.662945,J,1589538,132.16566,388.67218,J,1,85235317
1587557,132.13245,388.62555,H,18625734,132.167487,388.662945,J,1,85235316
1589609,132.252856,388.645792,H,1847191,132.250194,388.648243,J,1,85235289
1587561,132.252856,388.645792,J,1589609,132.252856,388.645792,H,10,85235277
2061941,131.968192,388.592131,H,18221418,131.961235,388.591055,J,0.1,85235266
18221997,132.23592,388.649801,J,18221109,132.238912,388.649899,J,1,85235160
14464984,132.233221,388.649161,J,18221997,132.23592,388.649801,J,1,85235159
11740475,132.247006,388.640351,J,1590587,132.252856,388.645792,H,10,81694463
16750298,132.25193,388.63558,J,11740475,132.247006,388.640351,J,1,81694450
16750298,132.25193,388.63558,J,14006037,132.25236,388.63983,J,1,81692605
17336065,131.900568,388.665126,J,12987146,131.923782,388.672085,J,1,72426075
2809742,132.16143,388.64197,J,17336061,132.14806,388.660051,J,1,72426070
15000848,131.94776,388.65113,J,17336065,131.900568,388.665126,J,1,72426058
42294474,131.877233,388.574427,J,4132367,131.874815,388.532329,J,1,72193970
15650783,131.864555,388.541644,J,2061935,131.86991,388.53171,H,10,72193957
4132367,131.874815,388.532329,J,2061935,131.86991,388.53171,H,10,72193901
5403119,131.883372,388.611941,J,4211206,131.91972,388.60366,J,1,72158171
42294474,131.877233,388.574427,J,11740468,131.78255,388.57853,J,1,72158170
4211206,131.91972,388.60366,J,2061942,131.932601,388.600031,H,1,72158166
16478339,132.254511,388.647361,J,1590587,132.252856,388.645792,H,10,71491318
16478339,132.254511,388.647361,J,1589609,132.252856,388.645792,H,10,71488658
16182765,132.234527,388.554761,J,2101917,132.238902,388.557507,J,1,71035202
16159008,131.965672,388.593104,J,4132295,131.97028,388.59245,J,1,70996979
5245515,132.02322,388.52172,J,16134977,132.02034,388.51111,J,1,70951656
16134977,132.02034,388.51111,J,5245514,132.00995,388.51926,J,1,70951651
16053866,132.23263,388.65886,J,8074644,132.22765,388.66696,J,1,70782912
11683976,132.23101,388.64525,J,16053866,132.23263,388.65886,J,1,70782910
16037941,132.25085,388.64537,J,15286460,132.250911,388.643011,J,1,70681489
16037941,132.25085,388.64537,J,11740475,132.247006,388.640351,J,1,70681485
15859653,132.252738,388.561553,J,11764681,132.246031,388.558291,J,1,70054193
14505464,132.234608,388.640529,J,15348201,132.232944,388.635384,J,1,68445410
1847008,132.245201,388.65329,J,15326836,132.243471,388.650111,J,1,68406562
14006040,132.005635,388.552291,J,1589765,131.98258,388.52944,H,1,68231972
1589765,131.98258,388.52944,H,15286444,131.95975,388.51473,J,1,68231970
5068398,132.244708,388.64615,J,15286460,132.250911,388.643011,J,1,68231964
15286444,131.95975,388.51473,J,7821131,131.957941,388.540651,J,1,68231942
2771151,131.95639,388.58818,J,4258532,131.974419,388.566373,J,1,68231938
15238519,131.98145,388.48796,J,13989291,132.00489,388.48903,J,1,68070498
15000851,131.990611,388.654621,J,15238517,132.003296,388.665373,J,1,68070493
15226909,132.09464,388.60372,J,5209096,132.080369,388.597929,J,1,68053275
15055923,131.859041,388.599654,J,4944917,131.889782,388.598704,J,1,67281297
13858122,132.256038,388.648839,J,13989315,132.259689,388.646248,J,1,67281294
15055920,132.25433,388.64851,J,13858122,132.256038,388.648839,J,10,67281289
13989315,132.259689,388.646248,J,7832949,132.26666,388.64975,J,1,67238101
4109894,132.05129,388.60418,J,15000850,132.050577,388.573274,J,1,67075021
15000850,132.050577,388.573274,J,3835853,132.041183,388.567059,J,1,67075019
2743067,132.194691,388.683881,J,5290014,132.18324,388.69703,J,1,64721033
14057310,132.250856,388.631526,J,3768418,132.248142,388.632961,J,1,64706881
1590227,132.25025,388.653982,J,14037310,132.23921,388.66669,J,10,64706834
7512379,132.236631,388.665441,J,14037310,132.23921,388.66669,J,10,64706818
5245431,131.99337,388.50764,J,4132366,131.99613,388.51493,J,1,64530015
5209090,131.933434,388.549495,J,13989350,131.91647,388.53296,J,1,64530013
13989313,132.25103,388.60865,J,4109963,132.25121,388.601963,J,1,64529618
13989313,132.25103,388.60865,J,1845532,132.246247,388.603867,J,1,64529612
5209095,131.957298,388.528787,J,1589765,131.98258,388.52944,H,1,60818031
11777669,131.93885,388.52608,J,5209095,131.957298,388.528787,J,1,60568516
5403119,131.883372,388.611941,J,11777671,131.82386,388.59134,J,1,60568511
11777668,132.033211,388.484691,J,8374374,132.031981,388.510661,J,1,60568510
11740469,131.80087,388.59385,J,11740468,131.78255,388.57853,J,1,60489657
7821131,131.957941,388.540651,J,4258532,131.974419,388.566373,J,1,60449514
11725568,131.934951,388.700711,J,11725576,131.941051,388.693701,J,1,60449502
