NodeID,type,A,longitude,latitude,D,fx_val0,fx_val1,fx_val2,fx_val3,fx_val4,fx_val5,fx_val6,fx_val7,fx_val8,fx_val9,fx_val10,fx_val11,fx_val12,fx_val13,fx_val14,fx_val15,fx_val16,fx_val17,fx_val18,fx_val19,fx_val20,fx_val21,fx_val22,fx_val23
1590587,H,10,132.252856,388.645792,0, , , , , , , , , , , , , , , , , , , , , , , , 
40706891,G,10,132.184321,388.667887,0, , , , , , , , , , , , , , , , , , , , , , , , 
29357488,G,10,132.252856,388.645792,0, , , , , , , , , , , , , , , , , , , , , , , , 
1589609,H,10,132.252856,388.645792,0, , , , , , , , , , , , , , , , , , , , , , , , 
82740746,J,0.1,132.239191,388.648931,0,59.475,54.1875,79.7625,56.6,45.4,58.475,81.525,81.2,89.675,103.65,111.7,108.75,118.3625,108.525,104.55,110.8,96.2875,86.65,92.2375,97.8125,97.5625,97,79.8375,82.4
84024003,J,0.1, , ,0,59.475,54.1875,79.7625,56.6,45.4,58.475,81.525,81.2,89.675,103.65,111.7,108.75,118.3625,108.525,104.55,110.8,96.2875,86.65,92.2375,97.8125,97.5625,97,79.8375,82.4
81782820,J,1,132.196901,388.666318,1,180.7111111,122,93.17777778,81.38888889,84.04444444,76.88888889,91.3,131.3777778,260.3444444,183.0777778,223,234.1,264.9555556,272.5222222,237.8666667,268.6444444,269.1222222,332.4555556,236.6111111,159.0333333,162.6888889,156.6666667,141.7333333,131.2
83398935,J,1,132.175372,388.664342,0,272.1433333,162.0026667,116.99,116.032,103.0433333,104.2966667,144.5966667,218.1966667,226.7106667,230.6293333,238.6746667,284.21,385.4673333,275.294,247.318,243.5693333,248.8726667,290.6693333,312.8346667,324.8633333,338.69,306.1566667,337.0826667,236.7966667
83488294,J,1,132.25241,388.66825,0,85.78125,63.71875,59.60625,54.93125,70.0125,56.5875,68.2625,73.99375,77.71875,73.55,83.58125,101.575,105.36875,102.8375,82.2875,96.3,93.98125,87.175,111.6875,95.75,93.33125,94.94375,98.30625,74.6375
83661285,J,1,132.2300576,388.574471,0,170.65,152.625,132.6,105.7,101.475,104.2,138.525,207.875,220.8,214.65,221.4,249.8,266.3,220.25,249.275,251.95,232.225,247.05,265.575,265.05,270.7,277.55,258.525,218.775
83703061,J,1,132.20136,388.64226,0,164,123,101,76,84.5,83.5,121.5,140.5,148.5,178.5,180,191.5,316,244.5,213,205.5,202.5,197.5,201.5,209.5,213,221,210,192.5
83976882,J,1,132.23322,388.63398,0,111.1727273,75.38181818,77.47272727,62.74545455,61.64545455,61.64545455,71.1,89.30909091,88.3,86.22727273,129.3909091,121.8181818,135.7636364,124.9636364,126.2636364,127.5818182,113.2090909,138.3181818,147.5545455,118.4181818,154.8909091,119.4727273,123.4727273,112.0363636
84024002,J,1,132.24663,388.62921,0,74.775,75.4,76.25,67.5,51.925,71.225,52.3125,73.075,83.285,65.125,93.45,86.6825,88.3475,80.8675,99.335,79.225,76.2875,88.8525,89.5,86.4,92.15,110.575,97.675,104.3
80542501,J,10,132.230294,388.675797,0,282.302008,171.3406426,143.6915663,124.4746988,114.7425703,117.9566265,149.8127309,204.5033735,236.0746586,241.4481526,254.4485944,290.4927309,351.7807229,298.1938554,284.4544578,281.5585944,286.9674297,289.6809639,304.7109237,304.0902008,310.6546185,300.7799197,280.3751004,251.5646586
81913465,J,10,132.246297,388.656424,0,166.1733333,96.80666667,80.2,69.59333333,70.44666667,59.79333333,74.49333333,97.36,103.1533333,132.94,121.04,158.46,208.92,182.2933333,187.3333333,186.3466667,189.38,206.3466667,232.6066667,186,171.1733333,129.9866667,139.34,103.4533333
60429296,J,10, , ,0,102.3,44.7,4.6,3,13.7,2.8,5.9,3.3,101.2,104.1,106.9,103.4,166.1,97.4,105.7,73.1,137.5,54.8,29,41,4.7,2.5,7.1,2.4
60509138,J,1, , ,0,104.5,66.5,7.2,3.8,2.4,3.5,4.8,4,82,89.1,106.3,105.5,165.2,49.9,107.6,108.6,146.1,80.2,32.5,54.3,5.2,3.8,4.6,3.4
