NodeID,type,A,longitude,latitude,D,fx_val0,fx_val1,fx_val2,fx_val3,fx_val4,fx_val5,fx_val6,fx_val7,fx_val8,fx_val9,fx_val10,fx_val11,fx_val12,fx_val13,fx_val14,fx_val15,fx_val16,fx_val17,fx_val18,fx_val19,fx_val20,fx_val21,fx_val22,fx_val23
77649040,J,1,132.311709,388.598383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36589357,G,1,132.35369,388.58738,0, , , , , , , , , , , , , , , , , , , , , , , , 
10515693,H,1,132.35369,388.58738,0, , , , , , , , , , , , , , , , , , , , , , , , 
7602521,H,1,132.375231,388.586301,0, , , , , , , , , , , , , , , , , , , , , , , , 
40562850,J,1, , ,0,5.2,3,84.9,103.8,104,104,44.8,102.6,109.2,111.7,109.9,109.6,109.5,111.1,111.7,111.2,110.5,110.2,110.4,35.8,107.8,11.9,3.8,2.5
64354495,J,1,132.331591,388.591728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63826384,J,1,132.540861,388.525605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4036403,J,1,132.51921,388.54247,0,160.7,155.5,104.9,123.1,112.1,122.9,143.6,213.7,171,165.1,189.2,203.9,242.4,207.5,192.8,212.4,202.4,219.1,231.3,238,288.2,250.6,205.9,135.8
8353888,J,1,132.58494,388.52374,0,135.9,128.5,96.8,155.3,101.2,123,142.6,139.5,243,201.5,148.1,217.8,192.4,192.8,177.8,178.7,160.4,206.3,199.6,215,202.1,171,175.9,120.4
19111892,J,1,132.590411,388.530206,0,145.2,146.8,114.1,200.6,107.5,172.8,168.3,201.4,254.9,220.8,158.7,247.5,238.7,215.6,200.1,206.7,180,236.2,245,288.2,245.1,229.2,221.2,145.6
17959478,J,1,132.361961,388.574351,0,76.4,56,25.8,65.3,5.7,10.8,48,56.1,61.7,69.4,83.8,65.1,73,76.5,63.2,68.4,67.1,64.2,54.8,63.4,68.3,48.1,56.9,60.6
2682274,J,1,132.35641,388.58135,0,71.5,64.9,31.4,62.8,5.7,4.3,44.6,81.5,51,61.7,72.8,77.7,73.1,72.7,104.6,68,90.3,65,55,85.8,88.9,57.9,55.4,71
41070818,J,1,132.365148,388.568196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15326843,J,1,132.370981,388.568071,0,147.8,127.8,132.6,111,92.6,127.8,195.3,176.2,216.2,166.6,192.7,200,244.7,213.2,187.2,200.1,193.3,200.3,209.7,222.2,203.7,233.9,166.9,161.1
34476317,J,1,132.375042,388.559976,0,134.9,118.9,118.9,99,95.1,135,168.2,169,201.9,179.4,193.7,173.8,178.4,202.6,190.8,173,159.2,160.4,175.7,208.5,185.1,165,148,132.4
1590767,H,1,132.37992,388.568463,0,1044,201.4,168.4,132.4,127.6,185.9,230.2,258.5,373.3,325,396.3,367.9,433.2,403,369.9,313.6,341.3,362.6,345.1,372.5,391.5,389.9,341.1,305.8
58889403,J,1,132.380267,388.564221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64215745,J,1,132.346702,388.600636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32069176,J,1,132.344901,388.59378,0,302,209.8,158.5,121.3,132.9,92.9,127.4,169.5,196.2,264.1,269.1,292.4,308,280.3,292.8,317.7,281.3,322.7,288.3,355.2,336.6,364.2,283.6,232.1
51191669,J,1,132.343991,388.600941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8157079,J,1,132.33932,388.60332,0,260.8,175.2,227.6,168.2,101.1,110.4,137.3,232.4,256.2,220.7,240.2,249.9,347.4,270.4,289.5,284.6,312,307.2,379.3,348,374.2,327.8,299.2,256.6
49950204,J,1,132.343371,388.601297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49950205,J,1,132.341561,388.599827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590729,J,1,132.339201,388.60629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21639686,J,1,132.378515,388.575569,0,149.1,129.4,69.7,67.4,90.1,73.8,98.3,104.4,148.4,158,153,153.7,160.6,190.3,134.9,143.1,192.6,176.9,159.6,132.8,173,145.6,152.7,189
42879587,J,1,132.37456,388.576117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80665481,J,0.1, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59399478,J,10,132.364044,388.561002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2682074,J,1,132.365557,388.559085,0,0.3,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.26,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
8403029,J,10,132.36459,388.55828,1,136.1,58.9,92.7,83,48.8,50.8,82.1,108.4,158.9,131.2,139.1,216,185.7,191.7,155.6,209.9,180.3,139.7,92.1,101.8,163.1,115.1,76.7,138.3
42333390,J,10,132.320021,388.561188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19361014,J,10,132.359061,388.560475,0,194,159,129,132,86,96,146,173,244,297,290,371,396,391,406,406,515,333,281,278,317,276,217,226
76374981,J,10,132.366456,388.557769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31318147,J,10,132.364075,388.55273,0,214,66.9,39.9,78.4,47.7,40.9,85.1,80.8,134.4,128.3,114.6,202.5,156.3,188.2,129.6,139.9,176.9,124.8,80.9,110.1,84.1,94,77.3,129
57494694,J,10,132.309631,388.567111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24521445,J,10,132.322291,388.570781,0,347,115.4,123.8,80.3,92.1,112.1,116.1,270.5,228.8,276.6,199.1,309.4,275.6,278.3,311.1,238.5,247,216,184,158.3,144.6,156.1,143.2,181.1
8419668,J,10,132.329201,388.574511,0,348,239,182,198,149,176,274,454,454,389,420,560,645,467,433,484,472,545,470,545,517,504,527,416
40909989,J,1,132.350231,388.583981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40909990,J,1,132.347831,388.531585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25505673,J,1,132.340988,388.525477,0,233.2,171.6,155.9,150.5,118.3,128.9,194.2,232.9,244.5,248.9,301.2,315.7,413.5,279.7,318.2,322.5,313.7,291.3,307.3,418.1,368.4,369.5,324.3,245.6
