NodeID_A,longitude_A,latitude_A,type_A,NodeID_B,longitude_B,latitude_B,type_B,A,NE
20317877,132.390384,388.608519,J,23113257,132.395606,388.614342,J,1,99612172
1845542,132.415401,388.64633,J,22855110,132.414471,388.644163,J,1,99035008
16205674,132.453598,388.613978,J,17236826,132.456775,388.612967,J,1,98672986
7988228,132.39669,388.66684,J,22329832,132.404601,388.652501,J,1,97077814
2568246,132.417944,388.65982,J,22269959,132.41655,388.65684,J,1,96709121
7576474,132.42006,388.64689,J,22219910,132.42005,388.65136,J,1,96583451
22195513,132.423121,388.646896,J,2682106,132.420011,388.646191,J,1,96257749
22195511,132.392152,388.657267,J,22171076,132.392152,388.657267,J,1,96257748
22195507,132.384353,388.607383,J,20317877,132.390384,388.608519,J,1,96257737
11683986,132.400101,388.62302,J,22171073,132.39962,388.62133,J,1,96189257
22073020,132.39399,388.66876,J,7699246,132.39399,388.66876,J,1,95961216
22072999,132.429131,388.658051,J,4633859,132.424311,388.660711,J,1,95961193
22073001,132.43405,388.65943,J,20489040, , ,J,1,95961186
19818852,132.448893,388.672317,J,21881297,132.44519,388.667501,J,1,95531075
21881297,132.44519,388.667501,J,14505462,132.438992,388.663189,J,1,95531071
2977208,132.411501,388.644487,J,21768740,132.411364,388.645322,J,1,95143824
21689131,132.399171,388.651291,J,5605465,132.39776,388.65157,J,1,94971307
21689129,132.431644,388.678213,J,13564581,132.43169,388.67849,J,1,94916188
21663501,132.438321,388.655661,J,5633622,132.439627,388.656962,J,1,94916182
7576476,132.400218,388.660185,J,21538220,132.40438,388.661101,J,0.1,94616259
21466747,132.376991,388.663404,J,14282219,132.377361,388.666961,J,1,94423135
21144236,132.42832,388.58471,J,10515694,132.42832,388.58471,J,1,93636831
21144236,132.42832,388.58471,J,19510778,132.423501,388.582821,J,1,93636830
21129923,132.419571,388.612211,J,12674225,132.412136,388.608845,J,1,93576952
2743413,132.419811,388.618601,J,21129923,132.419571,388.612211,J,1,93576946
1845122,132.385091,388.607411,J,21129925,132.38684,388.60964,J,10,93576930
20959735,132.432621,388.667344,J,13455052,132.43413,388.6691,J,1,93224604
20732829,132.393509,388.650612,J,16642173,132.39331,388.64657,J,1,92745462
20611284,132.381515,388.617471,J,19714517,132.38143,388.61536,J,1,92155001
20489038,132.390999,388.658043,J,17959479,132.390999,388.658043,J,1,91880216
20248792,132.348045,388.690654,J,11725567,132.356221,388.687571,J,1,91163922
20005458,132.392601,388.659201,J,1588170,132.394288,388.668825,H,1,90546641
20005459,132.441168,388.669902,J,19818852,132.448893,388.672317,J,1,90546637
19867679,132.39685,388.66807,J,1588170,132.394288,388.668825,H,1,90230412
19867679,132.39685,388.66807,J,1589763,132.394288,388.668825,H,1,90230411
1597128,132.428603,388.668115,H,5402993,132.419644,388.683077,H,10,90015859
1597128,132.428603,388.668115,H,2362228,132.441471,388.653791,H,1,90015858
19560117,132.393746,388.656805,J,17959479,132.390999,388.658043,J,1,89523081
19111893,132.366603,388.649281,J,8328356,132.37329,388.64717,J,1,87529127
19111893,132.366603,388.649281,J,15444896,132.366551,388.643935,J,1,87529126
18933307,132.427842,388.651974,J,8166465,132.431588,388.643333,J,1,85925392
18933307,132.427842,388.651974,J,8089000,132.432391,388.652061,J,1,85925391
18933309,132.41631,388.65593,J,13546364,132.414115,388.650601,J,1,85925390
2062468,132.43206,388.681126,J,1587953,132.421943,388.676946,J,1,85712851
3500681,132.42966,388.66337,J,15494384,132.430063,388.664367,J,1,85653498
9065594,132.392924,388.658066,J,7735966,132.39371,388.65707,J,1,85524229
12682967,132.348761,388.661951,J,17922887,132.343769,388.661988,J,10,81989146
14464985,132.386671,388.612821,J,7673594,132.39063,388.61078,J,1,81049877
7637713,132.388771,388.612716,J,14464985,132.386671,388.612821,J,1,81049876
7637720,132.38578,388.64707,J,16642181,132.384823,388.64284,J,1,75646526
8100176,132.380984,388.646704,J,16642181,132.384823,388.64284,J,1,75646505
1847032,132.34452,388.65672,J,11725577,132.349988,388.649511,J,1,72426073
17336062,132.429744,388.684399,J,8489896,132.42804,388.68541,J,10,72426071
1845687,132.346501,388.65934,J,1847032,132.34452,388.65672,J,1,72426061
8965655,132.435351,388.682381,J,17336062,132.429744,388.684399,J,1,72426057
7618047,132.465951,388.697711,J,17313125,132.463778,388.694896,J,1,72392493
17236826,132.456775,388.612967,J,15494388,132.451888,388.611662,J,1,72305381
9031115,132.461039,388.613114,J,17236826,132.456775,388.612967,J,1,72305369
5781157,132.435112,388.665413,J,2362228,132.441471,388.653791,H,1,72271145
7832945,132.392371,388.612181,J,1847115,132.384341,388.606731,J,1,72233678
7926921,132.42639,388.65263,J,7662813,132.433701,388.65271,J,1,72158179
7662813,132.433701,388.65271,J,13455044,132.441141,388.648595,J,1,72158177
13455044,132.441141,388.648595,J,8198042,132.441471,388.653791,J,1,72158175
42252230,132.423671,388.647961,J,15348190,132.423671,388.647961,J,1,71749806
16642181,132.384823,388.64284,J,16642173,132.39331,388.64657,J,1,71651595
15426509,132.443103,388.703391,J,3500783,132.45151,388.71077,J,1,70488621
3605995,132.43789,388.701605,J,15426509,132.443103,388.703391,J,1,70488618
15924101,132.40578,388.68441,J,8965649,132.40754,388.68259,J,1,70408261
15924101,132.40578,388.68441,J,8965657,132.410499,388.683025,J,1,70408245
15444896,132.366551,388.643935,J,8328356,132.37329,388.64717,J,1,70054440
15757544,132.439178,388.675781,J,9840796,132.433145,388.679534,J,1,70054403
8328361,132.36905,388.63947,J,15444896,132.366551,388.643935,J,1,70054331
15757544,132.439178,388.675781,J,8489921,132.43768,388.67916,J,1,70054208
15371680,132.379151,388.642215,J,8328356,132.37329,388.64717,J,1,68465821
15348190,132.423671,388.647961,J,10584914,132.424145,388.646281,J,1,68445405
13582039,132.368921,388.658441,J,12682966,132.35858,388.66147,J,10,67771268
4944907,132.38551,388.67326,J,3722469,132.38633,388.66923,J,1,67420926
15055926,132.392131,388.671961,J,1847236,132.393971,388.670748,J,1,67281298
14961601,132.387621,388.662231,J,5403516,132.387601,388.662231,J,1,66983190
1847201,132.393953,388.662256,J,14961601,132.387621,388.662231,J,1,66983185
3500783,132.45151,388.71077,J,14942123,132.459806,388.711705,J,1,66983184
2362228,132.441471,388.653791,H,1597128,132.428603,388.668115,H,10,66285415
1597128,132.428603,388.668115,H,5402993,132.419644,388.683077,H,10,66285403
14150203,132.344181,388.657938,J,11725577,132.349988,388.649511,J,1,64852169
2062566,132.420881,388.636491,J,2977502,132.420881,388.636491,J,1,64720998
2062566,132.420881,388.636491,J,4967229,132.42072,388.63677,J,1,64720997
5403480,132.485651,388.727371,J,14057734,132.491441,388.720471,J,1,64706802
9010850,132.523041,388.594121,J,13857992,132.522953,388.594051,J,1,64005796
12692410,132.351611,388.683681,J,13823767,132.354551,388.680621,J,10,63879130
