NodeID_A,longitude_A,latitude_A,type_A,NodeID_B,longitude_B,latitude_B,type_B,A,NE
1590767,132.37992,388.568463,H,23287506,132.375863,388.578306,J,1,99885227
23287506,132.375863,388.578306,J,8258005,132.377391,388.578911,J,1,99885225
23059755,132.36645,388.58711,J,19279496,132.370221,388.585571,J,1,99511002
23059755,132.36645,388.58711,J,1588577,132.36827,388.58507,J,1,99511001
22907266,132.474645,388.574828,J,1587616,132.47613,388.58045,H,1,99132517
2362226,132.471961,388.571021,J,22907266,132.474645,388.574828,J,1,99132516
1846541,132.499664,388.515629,J,22809613,132.501771,388.511906,J,1,98932819
22619585,132.334361,388.568901,J,22619768,132.336934,388.569909,J,1,98615436
14836549,132.333194,388.569791,J,22619585,132.334361,388.568901,J,1,98615419
22568653,132.311483,388.596567,J,1589958,132.305041,388.604521,H,1,98009923
22068361,132.370231,388.561203,J,7634474,132.36703,388.56573,J,1,95961200
1589387,132.29791,388.56569,H,1590364,132.364301,388.544118,H,10,95706692
15412214,132.527481,388.532911,J,21615126,132.528871,388.540411,J,1,95581340
3551385,132.52761,388.55089,J,21615126,132.528871,388.540411,J,1,95581334
21906217,132.418006,388.510314,J,8320465,132.42447,388.50823,J,1,95581330
14160317,132.397811,388.516841,J,21906217,132.418006,388.510314,J,1,95581329
5524405,132.604701,388.481231,J,4036448,132.55129,388.50483,J,1,95581323
21881299,132.374666,388.592475,J,1589376,132.374666,388.592475,H,1,95531052
1590570,132.37607,388.59264,J,21881299,132.374666,388.592475,J,1,95531051
21742184,132.390171,388.556711,J,18379268,132.39026,388.55871,J,1,95090343
21444411,132.418203,388.544927,J,21444416,132.421723,388.537989,J,1,94362390
14924629,132.375531,388.562921,J,1590767,132.37992,388.568463,H,1,93174248
1588577,132.36827,388.58507,J,19279496,132.370221,388.585571,J,1,93174213
7602521,132.375231,388.586301,H,19279496,132.370221,388.585571,J,1,93174209
20777908,132.359123,388.566927,J,14856814,132.36105,388.56956,J,1,92806228
2158693,132.409071,388.508261,J,20746437,132.404101,388.52327,J,1,92745477
20746437,132.404101,388.52327,J,2101906,132.405798,388.520179,J,1,92745474
20746436,132.37716,388.55898,J,8320477,132.37888,388.56079,J,0.1,92745464
2682108,132.429601,388.572301,J,20663431,132.441258,388.571876,J,1,92340200
1590767,132.37992,388.568463,H,5524412,132.353082,388.574886,H,1,92238676
20204352,132.343828,388.570525,J,18625735,132.34741,388.57336,J,1,91050833
20120526,132.372757,388.558387,J,17820900,132.373791,388.557321,J,1,90789656
20120526,132.372757,388.558387,J,8320477,132.37888,388.56079,J,0.1,90789655
20120522,132.356061,388.601298,J,18221420,132.364953,388.599691,J,10,90789648
14836550,132.354389,388.595704,J,20120522,132.356061,388.601298,J,10,90789647
20005460,132.496633,388.561152,J,1587616,132.47613,388.58045,H,1,90546639
15000852,132.368511,388.591434,J,18314758,132.36546,388.59385,J,1,90506018
4110005,132.310081,388.530391,J,19984719,132.304201,388.544245,J,1,90506013
19693256,132.328307,388.527234,J,4110005,132.310081,388.530391,J,1,89812801
8403034,132.374232,388.573277,J,19386191,132.377254,388.571025,J,1,88943558
3358091,132.347201,388.54215,J,1590018,132.35736,388.54121,J,0.1,88809108
19336044,132.478263,388.514197,J,1588405,132.451917,388.509733,H,1,88809105
1590730,132.478811,388.518841,J,19336044,132.478263,388.514197,J,1,88809104
1588362,132.433681,388.558991,J,1588393,132.46058,388.57363,J,1,88101617
1588393,132.46058,388.57363,J,1587616,132.47613,388.58045,H,1,88101610
3551378,132.456581,388.564391,J,13724169,132.469681,388.578971,J,1,88101609
15166171,132.418811,388.530831,J,19229440,132.418765,388.537216,J,1,88038627
19090267,132.361962,388.592133,J,18221107,132.35399,388.59077,J,1,87464038
19090267,132.361962,388.592133,J,18314758,132.36546,388.59385,J,1,87464034
18979140,132.330717,388.569959,J,14836549,132.333194,388.569791,J,1,87266076
15412302,132.472981,388.517431,J,15412217,132.491701,388.516271,J,1,85286488
1845666,132.491384,388.50978,H,18625736,132.493341,388.509451,J,1,85235377
8205417,132.396494,388.576767,J,18379269,132.40242,388.57176,J,1,85235375
7630949,132.402765,388.57178,J,18379269,132.40242,388.57176,J,1,85235374
18379268,132.39026,388.55871,J,2061873,132.39026,388.55871,H,1,85235364
5135649,132.380385,388.559071,J,18379268,132.39026,388.55871,J,1,85235345
18379266,132.387301,388.568001,J,1590767,132.37992,388.568463,H,1,85235322
5633500,132.351841,388.579311,J,18314762,132.34978,388.58127,J,1,85235299
8320462,132.353726,388.580766,J,18314762,132.34978,388.58127,J,1,85235298
18221107,132.35399,388.59077,J,10515693,132.35369,388.58738,H,1,85235292
18314761,132.372901,388.591101,J,1589376,132.374666,388.592475,H,1,85235288
18314760,132.371601,388.592401,J,18314761,132.372901,388.591101,J,1,85235286
8440575,132.369281,388.591235,J,18314760,132.371601,388.592401,J,1,85235280
18314758,132.36546,388.59385,J,8440575,132.369281,388.591235,J,1,85235278
1847043,132.35676,388.59323,J,18221107,132.35399,388.59077,J,1,85235276
14836550,132.354389,388.595704,J,18221107,132.35399,388.59077,J,1,85235268
18208229,132.35492,388.58186,J,1588142,132.35369,388.58738,H,1,85235222
18208229,132.35492,388.58186,J,1845123,132.353804,388.581565,J,1,85235205
8440576,132.357151,388.583662,J,18208229,132.35492,388.58186,J,10,85235201
18221417,132.349701,388.59181,J,18221966,132.34537,388.58987,J,1,85235191
18221966,132.34537,388.58987,J,18221112,132.347482,388.588786,J,1,85235172
18221112,132.347482,388.588786,J,8157044,132.35369,388.58738,J,10,85235169
8157044,132.35369,388.58738,J,1589347,132.35369,388.58738,H,1,85235168
7602520,132.345304,388.589074,J,18221966,132.34537,388.58987,J,1,85235166
9122816,132.350174,388.589598,J,18221417,132.349701,388.59181,J,1,85235161
1847066,132.49171,388.50678,J,1588405,132.451917,388.509733,H,1,85235147
18625736,132.493341,388.509451,J,17168113,132.491513,388.508646,J,1,85235146
2682268,132.347057,388.588844,J,18221112,132.347482,388.588786,J,1,85235138
9122816,132.350174,388.589598,J,18221112,132.347482,388.588786,J,1,85235132
2101918,132.35983,388.570066,J,18208258,132.354441,388.571981,J,1,85235128
14856814,132.36105,388.56956,J,18208258,132.354441,388.571981,J,1,85235127
14856814,132.36105,388.56956,J,7634474,132.36703,388.56573,J,1,85235126
7634474,132.36703,388.56573,J,18221971,132.36893,388.56457,J,1,85235125
17959477,132.356441,388.576518,J,17922888,132.360401,388.57419,J,1,82126877
17922888,132.360401,388.57419,J,17959480,132.36483,388.57091,J,1,82126876
17922886,132.36874,388.56827,J,17959480,132.36483,388.57091,J,1,82126872
8382668,132.370761,388.566161,J,17922886,132.36874,388.56827,J,10,82126871
17922884,132.37267,388.56422,J,8382668,132.370761,388.566161,J,10,82126862
14924629,132.375531,388.562921,J,17922884,132.37267,388.56422,J,1,82126859
2508733,132.36076,388.573841,J,17922888,132.360401,388.57419,J,1,81988223
2830445,132.368165,388.557755,J,17820900,132.373791,388.557321,J,1,81694447
17548796,132.35017,388.588401,J,1847179,132.350717,388.588355,J,1,81157583
13823773,132.350141,388.589312,J,17548796,132.35017,388.588401,J,1,81157577
13823800,132.350141,388.589312,J,17548796,132.35017,388.588401,J,1,81157576
17168113,132.491513,388.508646,J,1847066,132.49171,388.50678,J,1,72233675
1589587,132.45434,388.53105,J,8365151,132.457901,388.515461,J,1,72107260
16053874,132.35369,388.58738,J,10515693,132.35369,388.58738,H,1,70782911
12692415,132.467118,388.525345,J,15412302,132.472981,388.517431,J,1,70054442
15348198,132.400591,388.521511,J,1845623,132.40177,388.51937,J,1,70054428
15074088,132.38487,388.52379,J,3069372,132.371359,388.512885,J,1,70054364
15521431,132.336791,388.528251,J,15521433,132.351737,388.528024,J,10,70054320
15412217,132.491701,388.516271,J,1845666,132.491384,388.50978,H,1,70054276
15074096,132.372081,388.532811,J,15074088,132.38487,388.52379,J,1,67420929
5403286,132.36736,388.57745,J,8403034,132.374232,388.573277,J,1,66717459
8258004,132.359309,388.572309,J,14856814,132.36105,388.56956,J,1,66675986
3358367,132.367626,388.56142,J,14856814,132.36105,388.56956,J,1,66675978
1588405,132.451917,388.509733,H,3605877,132.398613,388.528318,H,1,66427612
1845666,132.491384,388.50978,H,1588405,132.451917,388.509733,H,1,66427610
1587616,132.47613,388.58045,H,2061873,132.39026,388.55871,H,1,66427609
5605548,132.409121,388.579981,J,14227613,132.402331,388.575931,J,1,65141036
1847127,132.395997,388.519429,J,14160317,132.397811,388.516841,J,1,64882714
1847370,132.368601,388.570701,J,5524412,132.353082,388.574886,H,1,64530027
3304543,132.37444,388.57105,J,1847370,132.368601,388.570701,J,1,64530026
4609375,132.37017,388.57601,J,1847149,132.355666,388.57457,J,1,64530025
1587616,132.47613,388.58045,H,13724169,132.469681,388.578971,J,1,63746733
1847208,132.354786,388.588371,J,10515693,132.35369,388.58738,H,1,63719089
1588155,132.29452,388.57461,J,13699352,132.291111,388.569811,J,1,63718979
2101171,132.37545,388.58695,J,1589376,132.374666,388.592475,H,1,63685432
2101970,132.37545,388.58695,J,1847756,132.37433,388.58651,J,1,63685431
2101970,132.37545,388.58695,J,2101171,132.37545,388.58695,J,1,63685430
1847756,132.37433,388.58651,J,7602521,132.375231,388.586301,H,1,63685429
1590570,132.37607,388.59264,J,7602521,132.375231,388.586301,H,1,63515456
13455043,132.31995,388.59055,J,1589958,132.305041,388.604521,H,1,63212845
13455043,132.31995,388.59055,J,10515693,132.35369,388.58738,H,1,63212822
10515693,132.35369,388.58738,H,1589347,132.35369,388.58738,H,1,63031008
1590767,132.37992,388.568463,H,5524412,132.353082,388.574886,H,1,62923499
2568613,132.375231,388.586301,J,7602521,132.375231,388.586301,H,1,62837294
1847137,132.491384,388.50978,J,1846541,132.499664,388.515629,J,1,62562895
13140406,132.594131,388.528221,J,1845666,132.491384,388.50978,H,1,62440914
13122330,132.529191,388.561731,J,13140406,132.594131,388.528221,J,1,62440913
13122327,132.467184,388.556488,J,13122330,132.529191,388.561731,J,1,62440912
10515693,132.35369,388.58738,H,1589347,132.35369,388.58738,H,1,61202932
3605877,132.398613,388.528318,H,1588405,132.451917,388.509733,H,1,60975263
1845666,132.491384,388.50978,H,1587616,132.47613,388.58045,H,1,60975261
1845666,132.491384,388.50978,H,1588405,132.451917,388.509733,H,1,60975260
2061873,132.39026,388.55871,H,1587616,132.47613,388.58045,H,1,60975259
8162167,132.339283,388.585973,J,10642410,132.33715,388.58989,J,1,59616945
7630950,132.337892,388.594395,J,10642410,132.33715,388.58989,J,1,59616940
10515693,132.35369,388.58738,H,1589347,132.35369,388.58738,H,1,59000790
10515693,132.35369,388.58738,H,7602521,132.375231,388.586301,H,1,59000789
1590201,132.35369,388.58738,J,1588142,132.35369,388.58738,H,1,56369813
1588405,132.451917,388.509733,H,8365151,132.457901,388.515461,J,1,56179930
2682074,132.365557,388.559085,J,8403029,132.36459,388.55828,J,1,56179888
1845477,132.374053,388.59151,J,8157040,132.37464,388.59294,J,1,56179847
1846959,132.35307,388.58425,J,8157100,132.354301,388.58497,J,1,56179813
8353888,132.58494,388.52374,J,4036443,132.536401,388.534201,J,1,55645739
2508553,132.379562,388.560384,J,8320477,132.37888,388.56079,J,0.1,55432772
4990572,132.571421,388.501141,J,5403212,132.588571,388.520281,J,1,54637607
4036403,132.51921,388.54247,J,4036443,132.536401,388.534201,J,1,54637605
8157079,132.33932,388.60332,J,1590729,132.339201,388.60629,J,1,54637490
4990572,132.571421,388.501141,J,1590730,132.478811,388.518841,J,1,54637476
2101968,132.367163,388.559727,J,7634474,132.36703,388.56573,J,1,54635887
2508559,132.368206,388.557565,J,7634474,132.36703,388.56573,J,1,54635880
5809488,132.342405,388.591483,J,1847766,132.35435,388.591101,J,0.1,54635415
7602521,132.375231,388.586301,H,1588142,132.35369,388.58738,H,1,54634149
7602521,132.375231,388.586301,H,1588142,132.35369,388.58738,H,1,54634147
1589387,132.29791,388.56569,H,1590364,132.364301,388.544118,H,10,54633507
1846610,132.33262,388.59421,J,5712600,132.338307,388.589679,J,1,54632872
5524419,132.33348,388.595195,J,1847224,132.337089,388.594009,J,1,54631838
1846642,132.33262,388.59421,J,3069371,132.33139,388.59444,J,0.1,54631827
1589958,132.305041,388.604521,H,3069371,132.33139,388.59444,J,0.1,54631818
1587995,132.338681,388.580341,J,1589347,132.35369,388.58738,H,1,54631689
1589347,132.35369,388.58738,H,3500723,132.35051,388.58585,J,1,54628673
1589347,132.35369,388.58738,H,1590201,132.35369,388.58738,J,0.1,54628581
3069367,132.35279,388.58236,J,1588142,132.35369,388.58738,H,1,54628453
1846983,132.35739,388.597311,J,3069368,132.361091,388.599521,J,1,54628450
1588142,132.35369,388.58738,H,1589347,132.35369,388.58738,H,1,54628447
1588347,132.44262,388.56323,J,3551378,132.456581,388.564391,J,1,54628254
1590621,132.491384,388.50978,J,1589793,132.50196,388.51096,J,1,54627938
1847766,132.35435,388.591101,J,1847208,132.354786,388.588371,J,1,54627868
1847137,132.491384,388.50978,J,1590621,132.491384,388.50978,J,1,54627427
2158693,132.409071,388.508261,J,2809705,132.39443,388.50815,J,1,54627269
1589376,132.374666,388.592475,H,1845477,132.374053,388.59151,J,1,54627014
1590621,132.491384,388.50978,J,1845666,132.491384,388.50978,H,1,54626696
1846610,132.33262,388.59421,J,1846642,132.33262,388.59421,J,1,54626552
83440509, , ,J,18625735,132.34741,388.57336,J,1,202108218
84942499, , ,J,15650719,132.293078,388.607479,J,1,201938266
84942499, , ,J,59018596,132.305041,388.604521,J,1,201938265
84024004, , ,J,65768369,132.36016,388.59285,J,0.1,201802842
84809155, , ,J,73108870, , ,J,1,201648148
64025981,132.398613,388.528318,H,1587748,132.40674,388.52661,J,1,201138287
63780554, , ,J,58613117,132.550074,388.549392,J,1,201137595
2062450,132.431637,388.534673,J,64025982,132.451917,388.509733,H,10,201137594
64025982,132.451917,388.509733,H,1847323,132.43549,388.49682,J,1,201137593
64025982,132.451917,388.509733,H,19386192,132.428817,388.505885,J,1,201137592
64025982,132.451917,388.509733,H,57451610,132.450631,388.494512,J,1,201137591
64025982,132.451917,388.509733,H,36372855,132.451917,388.509733,J,1,201137590
64025982,132.451917,388.509733,H,19135068,132.449588,388.511926,J,1,201137589
2062450,132.431637,388.534673,J,64025981,132.398613,388.528318,H,0.1,201137588
64025981,132.398613,388.528318,H,15348198,132.400591,388.521511,J,1,201137587
64025981,132.398613,388.528318,H,1847127,132.395997,388.519429,J,1,201137586
64025981,132.398613,388.528318,H,24482520,132.398613,388.528318,J,1,201137585
64025981,132.398613,388.528318,H,40562866,132.422228,388.529715,J,1,201137584
61126350,132.431511,388.547731,J,2061873,132.39026,388.55871,H,1,200892817
